Date,Variable,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambantota,Jaffna,Moneragala,Katugasthota,Katunayake,Kurunagala,Maha Illuppallama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Ratnapura,Trincomalee,Vavuniya,Mattala,Mullaitivu,Total Rainfall,Average Rainfall,Max Rainfall,Min Rainfall,Average Northern Plains,Average Eastern Plains,Average Eastern Hills,Average Western Plains,Average Western Hills,Average Southern Plains,8-Day Average Northern Plains,8-Day Average Eastern Plains,8-Day Average Eastern Hills,8-Day Average Western Plains,8-Day Average Western Hills,8-Day Average Southern Plains
0.0,4.8,0.3,0.2,1.3,0.6,0.0,0.1,0.8,0.0,1.1,0.5,9.7,0.0,0.0,0.0,0.0,10.3,0.0,0.0,59.5,2.48,22.1,0.0,1.64,6.84,3.75,0.98,0.37,0.15,,,,,,,,,,,,
4.1,0.1,19.4,45.5,28.5,48.4,6.4,36.3,4.9,10.6,28.2,41.9,83.0,0.5,1.9,3.1,16.4,13.4,18.2,6.4,551.3,22.97,83.0,0.1,12.1,40.14,43.05,9.76,31.13,18.8,,,,,,,,,,,,
1.4,1.4,10.5,5.1,17.0,25.9,1.9,14.5,0.8,16.1,2.5,39.8,31.2,11.2,0.8,5.3,5.0,0.3,35.3,12.4,306.4,12.77,45.0,0.0,6.56,11.14,34.0,4.0,23.67,22.9,,,,,,,,,,,,
0.0,0.0,2.1,0.0,8.3,6.4,3.6,0.5,1.8,4.2,0.3,8.4,25.1,0.0,1.9,0.1,9.3,6.1,2.7,4.9,125.5,5.23,25.1,0.0,2.96,12.42,8.5,1.2,4.97,2.4,,,,,,,,,,,,
0.1,4.6,19.3,18.4,30.4,10.6,0.3,9.5,61.7,90.5,35.9,13.5,70.5,13.9,0.1,2.5,43.3,65.2,19.2,56.9,705.2,29.38,90.5,0.1,52.23,44.6,18.45,2.92,8.87,19.25,,,,,,,,,,,,
0.0,0.0,0.6,8.4,1.9,0.2,0.0,0.0,0.0,0.8,6.0,0.7,17.9,7.7,0.0,0.0,30.2,6.2,0.4,0.0,95.6,3.98,30.2,0.0,4.3,12.26,1.15,0.0,0.3,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.4,17.3,9.6,2.6,9.6,,,,,,
0.0,2.6,0.2,0.0,0.7,3.4,0.2,2.1,2.1,0.0,3.9,8.4,0.0,2.3,0.0,32.0,0.0,0.0,0.2,0.4,63.900000000000006,2.66,32.0,0.0,0.79,0.94,2.3,0.98,14.6,0.2,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.4,0.3,11.4,0.8,0.0,0.0,12.5,0.0,0.0,0.6,53.2,2.22,12.5,0.0,1.83,7.96,0.15,0.0,0.1,0.0,,,,,,,,,,,,
7.5,10.0,46.7,9.4,43.6,68.7,16.5,68.4,49.3,36.1,67.7,38.4,71.5,48.0,6.7,12.3,178.0,24.2,29.3,3.5,1020.9,42.54,178.0,3.5,34.86,81.82,31.65,21.82,39.8,38.0,,,,,,,,,,,,
2.5,34.5,3.3,0.3,18.6,6.9,4.4,4.0,21.4,27.3,69.5,9.7,24.1,14.1,0.8,2.7,10.8,14.4,6.5,18.9,390.9,16.29,69.5,0.3,15.09,37.64,10.9,9.24,6.43,4.9,,,,,,,,,,,,
1.0,0.1,0.0,0.6,5.6,0.2,2.6,2.8,7.5,3.2,7.7,2.1,4.5,18.4,0.1,4.6,0.0,1.9,1.2,0.0,123.09999999999998,5.13,39.8,0.0,4.51,11.52,9.6,1.32,2.3,0.6,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0.5,3.4,0.1,12.9,2.0,4.1,2.8,9.8,21.5,20.5,9.5,49.2,0.4,0.5,1.7,1.7,59.2,7.1,13.3,0.0,246.7,10.28,59.2,0.0,11.31,14.46,4.3,3.64,18.33,6.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,9.1,24.9,10.2,5.5,7.6,,,,,,
9.3,1.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.6,0.0,0.0,1.0,0.0,24.9,1.04,10.6,0.0,0.0,0.0,0.15,2.52,3.53,0.7,,,,,,,,,,,,
10.8,13.5,0.0,8.9,3.0,1.4,0.4,0.0,0.0,1.1,2.8,24.4,0.0,32.7,29.6,0.0,0.0,14.5,0.0,0.0,187.6,7.82,32.7,0.0,9.14,5.12,8.95,10.86,8.6,0.0,,,,,,,,,,,,
0.0,8.4,0.0,0.0,0.0,0.8,1.8,0.3,0.8,0.0,0.5,3.3,0.6,0.3,0.0,9.6,0.0,1.1,0.5,0.0,34.3,1.43,9.6,0.0,0.76,0.24,1.55,2.1,4.57,0.25,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,,,,,,,,,,,
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,,,,,,,,,,,
0.2,0.8,1.6,0.0,4.6,2.8,0.0,0.7,0.0,0.0,0.1,8.3,4.4,0.0,0.0,5.4,0.0,0.0,8.3,0.0,53.3,2.22,10.1,0.0,0.0,2.24,7.0,0.34,5.5,4.95,,,,,,,,,,,,
10.4,6.6,5.2,0.4,55.9,10.2,9.8,17.4,7.7,2.7,1.0,93.5,15.8,0.0,14.4,9.9,8.6,3.6,1.0,0.6,381.1,15.88,93.5,0.0,3.33,16.78,47.75,11.72,37.87,3.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,3.48,9.34,3.94,8.59,1.29,,,,,,
01/30/2025,Rainfall,8.3,0.9,0.7,6.6,0.0,0.0,0.0,3.6,0.0,0.2,1.2,0.0,1.9,6.0,15.1,0.2,24.6,20.7,0.0,0.0,5.4,4.8,6.1,5.8,112.1,4.67,24.6,0.0,7.3,10.34,0.8,0.24,0.13,3.05,,,,,,
01/31/2025,Rainfall,0.0,6.3,1.2,0.0,1.3,24.5,0.4,0.0,0.0,0.2,18.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.7,0.0,0.0,0.0,1.0,0.0,54.4,2.27,24.5,0.0,0.07,0.04,3.75,8.9,0.1,0.7,,,,,,
02/01/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,10.9,0.0,0.0,0.0,0.0,0.0,11.3,0.47,10.9,0.0,0.0,0.06,0.0,2.2,0.0,0.0,,,,,,
02/02/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/03/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/04/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/05/2025,Rainfall,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,,,,,
02/06/2025,8-day Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.49,0.65,1.62,0.03,0.54
02/06/2025,Rainfall,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.18,4.2,0.0,0.0,0.84,0.0,0.0,0.0,0.0,,,,,,
02/07/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/08/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/09/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/10/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.84,20.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,,,,,,
02/11/2025,Rainfall,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003,0.14,2.2,0.0,0.0,0.6,0.15,0.0,0.0,0.0,,,,,,
02/12/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/13/2025,8-day Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.78,0.02,0.0,0.0,0.0
02/13/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/14/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/15/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/16/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
02/17/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,16.7,0.0,0.0,0.0,0.0,30.4,1.27,16.7,0.0,0.0,1.16,0.0,1.58,5.57,0.0,,,,,,
02/18/2025,Rainfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
